id,x,y
Rome,12.4964,41.9028
Atlanta,-84.388,33.749
Busan,129.0756,35.1796
Shanghai,121.4737,31.2304
Cairo,31.2357,30.0444
Dubai,55.2708,25.2048
Essen,7.0123,51.4556
